,ids,
0,127935_12101,1
1,96465_12069,1
2,22473_12817,1
3,132869_12109,1
8,83068_12757,1
10,20871_11917,1
11,20754_12200,1
12,126176_12780,1
13,23357_12486,1
14,117397_10686,1
16,20902_12766,1
19,114738_11706,1
20,128865_12325,1
24,21118_12784,1
26,92089_12089,1
29,20916_12762,1
31,112694_12814,1
32,127065_12752,1
34,112807_11890,1
36,128079_11934,1
38,95257_12041,1
42,23748_12739,1
44,93242_11850,1
47,130438_11999,1
50,117847_12740,1
52,131384_12198,1
53,94378_11833,1
55,93242_12442,1
56,98370_12558,1
57,22744_12533,1
58,20903_12159,1
59,126532_12582,1
4,112715_8892,
5,139272_10739,
6,17621_8962,
7,105176_9332,
9,88608_10764,
15,85369_9132,
17,19494_10085,
18,96659_11096,
21,81725_11109,
22,128259_12837,
23,94028_9203,
25,90281_11093,
27,135277_12808,
28,109577_8980,
30,87646_10754,
33,91335_9333,
35,98831_10086,
37,87225_10933,
39,17519_9331,
40,92155_11022,
41,17648_8576,
43,17650_8943,
45,135085_11812,
46,16962_8944,
48,89279_10901,
49,17940_9464,
51,90877_10907,
54,15305_8752,
